Date,Description,Deposits,Withdrawls,Balance
21-Aug-2020,Reversal,"29,184.60",00.00,"472,926.92"
21-Aug-2020,Cheque,"1,697,037.00",00.00,"2,169,963.92"
21-Aug-2020,Transfer,00.00,"542,490.98","1,627,472.94"
21-Aug-2020,Cheque,45.00,00.00,"1,627,517.94"
21-Aug-2020,Bill,00.00,"325,503.59","1,302,014.35"
21-Aug-2020,Tax,00.00,"651,007.18","651,007.18"
21-Aug-2020,Debit Card,"177,368.47",00.00,"828,375.65"
21-Aug-2020,Debit Card,00.00,"82,837.57","745,538.08"
21-Aug-2020,Cash,00.00,"745,538.08",00.00
21-Aug-2020,Commission,113.00,00.00,113.00
21-Aug-2020,Debit Card,"37,934.84",00.00,"38,047.84"
21-Aug-2020,Debit Card,"28,479.00",00.00,"66,526.84"
21-Aug-2020,Cheque,00.00,"13,305.37","53,221.47"
21-Aug-2020,Purchase,00.00,"26,610.74","26,610.74"
21-Aug-2020,Reversal,00.00,"6,652.69","19,958.06"
21-Aug-2020,Commission,19.00,00.00,"19,977.06"
22-Aug-2020,Purchase,00.00,"3,995.41","15,981.65"
23-Aug-2020,Bill,02.30,00.00,"15,983.95"
23-Aug-2020,IMPS,00.00,"1,997.99","13,985.96"
23-Aug-2020,Cash,00.00,"4,661.99","9,323.97"
23-Aug-2020,Tax,00.00,"1,554.00","7,769.98"
23-Aug-2020,Debit Card,02.30,00.00,"7,772.28"
23-Aug-2020,Transfer,00.00,"3,886.14","3,886.14"
23-Aug-2020,Cheque,00.00,971.54,"2,914.60"
23-Aug-2020,Purchase,00.00,728.65,"2,185.95"
23-Aug-2020,Commission,"213,317.90",00.00,"215,503.85"
23-Aug-2020,Interest,00.00,"71,834.62","143,669.23"
23-Aug-2020,RTGS,"51,040.06",00.00,"194,709.29"
23-Aug-2020,IMPS,00.00,"24,338.66","170,370.63"
23-Aug-2020,Purchase,"31,938.91",00.00,"202,309.54"
23-Aug-2020,RTGS,00.00,"22,478.84","179,830.70"
23-Aug-2020,ATM,00.00,"25,690.10","154,140.60"
23-Aug-2020,Cheque,00.00,"77,070.30","77,070.30"
23-Aug-2020,Miscellaneous,00.00,"8,563.37","68,506.93"
23-Aug-2020,Interest,00.00,"6,850.69","61,656.24"
23-Aug-2020,IMPS,"52,426.80",00.00,"114,083.04"
23-Aug-2020,ATM,11.52,00.00,"114,094.56"
23-Aug-2020,Miscellaneous,"1,879,728.00",00.00,"1,993,822.56"
23-Aug-2020,Debit Card,26.20,00.00,"1,993,848.76"
23-Aug-2020,Commission,"3,153.70",00.00,"1,997,002.46"
23-Aug-2020,Miscellaneous,00.00,"249,625.31","1,747,377.15"
23-Aug-2020,Miscellaneous,00.00,"249,625.31","1,497,751.84"
23-Aug-2020,Reversal,"86,449.80",00.00,"1,584,201.64"
23-Aug-2020,Debit Card,"27,008.70",00.00,"1,611,210.34"
23-Aug-2020,Commission,00.00,"805,605.17","805,605.17"
23-Aug-2020,Commission,497.20,00.00,"806,102.37"
24-Aug-2020,NEFT,"1,966,561.80",00.00,"2,772,664.17"
24-Aug-2020,Bill,00.57,00.00,"2,772,664.74"
25-Aug-2020,ATM,00.00,"2,772,664.74",00.00
25-Aug-2020,Reversal,"202,554.12",00.00,"202,554.12"
25-Aug-2020,ATM,00.00,"50,638.53","151,915.59"
25-Aug-2020,NEFT,"1,935,490.50",00.00,"2,087,406.09"
25-Aug-2020,Commission,00.00,"417,481.22","1,669,924.87"
25-Aug-2020,Reversal,00.00,"417,481.22","1,252,443.65"
25-Aug-2020,RTGS,00.00,"125,244.37","1,127,199.28"
25-Aug-2020,Interest,00.00,"112,719.93","1,014,479.35"
25-Aug-2020,Debit Card,00.00,"202,895.87","811,583.48"
25-Aug-2020,Debit Card,00.00,"811,583.48",00.00
25-Aug-2020,Interest,503.16,00.00,503.16
25-Aug-2020,Cash,00.00,71.88,431.28
25-Aug-2020,Debit Card,06.00,00.00,437.28
25-Aug-2020,Debit Card,257.00,00.00,694.28
25-Aug-2020,RTGS,"20,014.00",00.00,"20,708.28"
25-Aug-2020,Cash,"70,086.40",00.00,"90,794.68"
25-Aug-2020,Cash,00.00,"22,698.67","68,096.01"
25-Aug-2020,ATM,"120,471.62",00.00,"188,567.63"
25-Aug-2020,Reversal,00.00,"26,938.23","161,629.40"
25-Aug-2020,RTGS,00.00,"53,876.47","107,752.93"
25-Aug-2020,Transfer,00.00,"26,938.23","80,814.70"
25-Aug-2020,Commission,00.00,"80,814.70",00.00
25-Aug-2020,ATM,21.48,00.00,21.48
25-Aug-2020,ATM,446.90,00.00,468.38
25-Aug-2020,Interest,"1,047,161.20",00.00,"1,047,629.58"
25-Aug-2020,Debit Card,02.77,00.00,"1,047,632.35"
25-Aug-2020,NEFT,00.00,"116,403.59","931,228.76"
25-Aug-2020,Tax,00.00,"232,807.19","698,421.57"
25-Aug-2020,Reversal,41.94,00.00,"698,463.51"
25-Aug-2020,Cash,00.00,"69,846.35","628,617.16"
25-Aug-2020,Transfer,"29,612.00",00.00,"658,229.16"
26-Aug-2020,Reversal,20.87,00.00,"658,250.03"
26-Aug-2020,NEFT,07.90,00.00,"658,257.93"
26-Aug-2020,Reversal,00.00,"219,419.31","438,838.62"
26-Aug-2020,Reversal,00.00,"109,709.66","329,128.96"
26-Aug-2020,IMPS,"30,187.00",00.00,"359,315.96"
26-Aug-2020,Cash,00.00,"179,657.98","179,657.98"
26-Aug-2020,Tax,17.34,00.00,"179,675.32"
26-Aug-2020,IMPS,00.00,"59,891.77","119,783.55"
26-Aug-2020,Purchase,"65,903.00",00.00,"185,686.55"
26-Aug-2020,IMPS,00.00,"185,686.55",00.00
26-Aug-2020,Commission,58.92,00.00,58.92
26-Aug-2020,Tax,03.03,00.00,61.95
26-Aug-2020,NEFT,00.00,06.20,55.76
26-Aug-2020,Bill,"29,121.10",00.00,"29,176.86"
26-Aug-2020,RTGS,"1,136,234.00",00.00,"1,165,410.86"
26-Aug-2020,Cheque,"3,536.72",00.00,"1,168,947.58"
26-Aug-2020,Cash,00.00,"389,649.19","779,298.39"
26-Aug-2020,RTGS,00.00,"389,649.20","389,649.20"
26-Aug-2020,Bill,00.00,"77,929.84","311,719.36"
26-Aug-2020,ATM,00.00,"155,859.68","155,859.68"
26-Aug-2020,NEFT,"28,972.00",00.00,"184,831.68"
26-Aug-2020,Bill,"29,169.00",00.00,"214,000.68"
26-Aug-2020,ATM,00.00,"53,500.17","160,500.51"
26-Aug-2020,Cheque,"6,672.20",00.00,"167,172.71"
26-Aug-2020,Cheque,62.27,00.00,"167,234.98"
26-Aug-2020,Purchase,00.00,"83,617.49","83,617.49"
26-Aug-2020,Cheque,00.00,"83,617.49",00.00
26-Aug-2020,Cheque,19.73,00.00,19.73
26-Aug-2020,Purchase,"67,355.56",00.00,"67,375.29"
26-Aug-2020,Miscellaneous,37.15,00.00,"67,412.44"
26-Aug-2020,ATM,05.90,00.00,"67,418.34"
26-Aug-2020,Tax,"262,018.20",00.00,"329,436.54"
26-Aug-2020,NEFT,00.00,"47,062.36","282,374.18"
26-Aug-2020,Purchase,00.00,"28,237.42","254,136.76"
26-Aug-2020,NEFT,"901,505.00",00.00,"1,155,641.76"
26-Aug-2020,Cheque,00.00,"165,091.68","990,550.08"
26-Aug-2020,RTGS,07.58,00.00,"990,557.66"
26-Aug-2020,NEFT,00.00,"165,092.94","825,464.72"
26-Aug-2020,NEFT,00.00,"103,183.09","722,281.63"
26-Aug-2020,Cash,00.00,"80,253.51","642,028.12"
27-Aug-2020,Debit Card,451.00,00.00,"642,479.12"
27-Aug-2020,Reversal,"1,870,301.00",00.00,"2,512,780.12"
27-Aug-2020,Tax,116.00,00.00,"2,512,896.12"
27-Aug-2020,RTGS,00.00,"1,256,448.06","1,256,448.06"
27-Aug-2020,Commission,00.00,"1,256,448.06",00.00
27-Aug-2020,RTGS,52.74,00.00,52.74
27-Aug-2020,IMPS,00.00,05.86,46.88
27-Aug-2020,Transfer,00.00,09.38,37.50
27-Aug-2020,Miscellaneous,"68,892.00",00.00,"68,929.50"
27-Aug-2020,Cheque,"14,714.05",00.00,"83,643.55"
27-Aug-2020,Commission,00.00,"13,940.59","69,702.96"
27-Aug-2020,Purchase,20.00,00.00,"69,722.96"
28-Aug-2020,Cash,"3,916.68",00.00,"73,639.64"
28-Aug-2020,Reversal,"1,642.00",00.00,"75,281.64"
28-Aug-2020,Tax,"2,824.60",00.00,"78,106.24"
28-Aug-2020,RTGS,00.00,"9,763.28","68,342.96"
28-Aug-2020,Debit Card,"214,959.00",00.00,"283,301.96"
28-Aug-2020,Transfer,00.00,"70,825.49","212,476.47"
28-Aug-2020,Purchase,"1,357,731.00",00.00,"1,570,207.47"
28-Aug-2020,Transfer,00.00,"224,315.35","1,345,892.12"
28-Aug-2020,RTGS,120.00,00.00,"1,346,012.12"
28-Aug-2020,Reversal,00.00,"168,251.52","1,177,760.60"
28-Aug-2020,Commission,00.00,"392,586.87","785,173.73"
28-Aug-2020,Debit Card,"255,653.20",00.00,"1,040,826.93"
28-Aug-2020,Bill,06.27,00.00,"1,040,833.20"
28-Aug-2020,Tax,05.87,00.00,"1,040,839.07"
28-Aug-2020,Miscellaneous,"221,529.00",00.00,"1,262,368.07"
29-Aug-2020,Tax,00.00,"140,263.12","1,122,104.95"
29-Aug-2020,Cash,00.00,"140,263.12","981,841.83"
29-Aug-2020,Debit Card,00.00,"245,460.46","736,381.37"
29-Aug-2020,Cash,"1,162,404.00",00.00,"1,898,785.37"
29-Aug-2020,Cash,276.00,00.00,"1,899,061.37"
29-Aug-2020,Cash,00.00,"271,294.48","1,627,766.89"
29-Aug-2020,RTGS,47.00,00.00,"1,627,813.89"
29-Aug-2020,Cash,45.00,00.00,"1,627,858.89"
29-Aug-2020,Interest,"320,226.75",00.00,"1,948,085.64"
29-Aug-2020,Commission,"161,676.06",00.00,"2,109,761.70"
29-Aug-2020,Bill,"11,221.88",00.00,"2,120,983.58"
29-Aug-2020,Cash,"41,859.20",00.00,"2,162,842.78"
29-Aug-2020,Cheque,"319,669.80",00.00,"2,482,512.58"
29-Aug-2020,Interest,00.00,"2,482,512.58",00.00
29-Aug-2020,Transfer,463.60,00.00,463.60
30-Aug-2020,Bill,00.00,92.72,370.88
30-Aug-2020,Purchase,"26,876.60",00.00,"27,247.48"
30-Aug-2020,Interest,"5,950.85",00.00,"33,198.33"
30-Aug-2020,Purchase,00.00,"4,742.62","28,455.71"
30-Aug-2020,Debit Card,00.00,"4,065.10","24,390.61"
30-Aug-2020,ATM,"3,141.00",00.00,"27,531.61"
30-Aug-2020,NEFT,"344,273.50",00.00,"371,805.11"
30-Aug-2020,Miscellaneous,00.00,"371,805.11",00.00
30-Aug-2020,NEFT,"24,213.92",00.00,"24,213.92"
30-Aug-2020,Commission,00.00,"4,842.78","19,371.14"
30-Aug-2020,NEFT,"1,734.20",00.00,"21,105.34"
30-Aug-2020,IMPS,00.00,"2,345.04","18,760.30"
30-Aug-2020,Cheque,231.00,00.00,"18,991.30"
30-Aug-2020,Cheque,00.00,"3,165.22","15,826.08"
30-Aug-2020,Tax,"118,247.50",00.00,"134,073.58"
30-Aug-2020,Purchase,00.00,"134,073.58",00.00
30-Aug-2020,Purchase,"3,366.10",00.00,"3,366.10"
30-Aug-2020,IMPS,00.00,374.01,"2,992.09"
30-Aug-2020,Commission,00.00,"2,992.09",00.00
30-Aug-2020,Interest,"90,773.28",00.00,"90,773.28"
30-Aug-2020,Reversal,"113,711.50",00.00,"204,484.78"
31-Aug-2020,Cheque,00.00,"204,484.78",00.00
31-Aug-2020,Transfer,"539,005.50",00.00,"539,005.50"
31-Aug-2020,Transfer,"1,290.53",00.00,"540,296.03"
31-Aug-2020,Commission,50.21,00.00,"540,346.24"
31-Aug-2020,NEFT,"1,035.92",00.00,"541,382.16"
31-Aug-2020,Cheque,"12,674.90",00.00,"554,057.06"
31-Aug-2020,Tax,00.00,"277,028.53","277,028.53"
31-Aug-2020,Purchase,00.00,"92,342.84","184,685.69"
31-Aug-2020,Cheque,"27,991.00",00.00,"212,676.69"
31-Aug-2020,Bill,"1,041,299.50",00.00,"1,253,976.19"
31-Aug-2020,Miscellaneous,00.00,"417,992.06","835,984.13"
31-Aug-2020,Tax,"78,877.00",00.00,"914,861.13"
31-Aug-2020,Transfer,"109,864.10",00.00,"1,024,725.23"
31-Aug-2020,Miscellaneous,"81,345.81",00.00,"1,106,071.04"
31-Aug-2020,IMPS,04.00,00.00,"1,106,075.04"
31-Aug-2020,IMPS,00.00,"553,037.52","553,037.52"
31-Aug-2020,Transfer,00.00,"55,303.75","497,733.77"
31-Aug-2020,Cheque,387.00,00.00,"498,120.77"
31-Aug-2020,Debit Card,00.00,"62,265.10","435,855.67"
01-Sep-2020,Transfer,509.70,00.00,"436,365.37"
01-Sep-2020,NEFT,00.00,"72,727.56","363,637.81"
01-Sep-2020,Bill,"1,892.90",00.00,"365,530.71"
02-Sep-2020,Debit Card,00.00,"52,218.67","313,312.04"
02-Sep-2020,Tax,00.00,"313,312.04",00.00
02-Sep-2020,ATM,36.20,00.00,36.20
02-Sep-2020,Cheque,00.00,12.07,24.13
02-Sep-2020,Interest,00.00,03.45,20.68
02-Sep-2020,Reversal,00.00,02.07,18.61
02-Sep-2020,Commission,00.00,06.20,12.41
02-Sep-2020,RTGS,"2,858.00",00.00,"2,870.41"
02-Sep-2020,Reversal,00.00,"1,435.21","1,435.20"
02-Sep-2020,Cash,01.11,00.00,"1,436.31"
02-Sep-2020,Debit Card,00.00,718.16,718.16
02-Sep-2020,Interest,"16,483.34",00.00,"17,201.50"
02-Sep-2020,Cheque,"101,077.00",00.00,"118,278.50"
02-Sep-2020,Tax,662.62,00.00,"118,941.12"
02-Sep-2020,Commission,00.00,"19,823.52","99,117.60"
02-Sep-2020,ATM,"257,296.50",00.00,"356,414.10"
02-Sep-2020,Cash,"33,621.03",00.00,"390,035.13"
02-Sep-2020,IMPS,"217,145.20",00.00,"607,180.33"
02-Sep-2020,Bill,"81,500.70",00.00,"688,681.03"
02-Sep-2020,NEFT,00.00,"229,560.34","459,120.69"
02-Sep-2020,Tax,"91,433.41",00.00,"550,554.10"
02-Sep-2020,Miscellaneous,00.00,"55,055.41","495,498.69"
02-Sep-2020,Interest,444.00,00.00,"495,942.69"
02-Sep-2020,Interest,00.00,"495,942.69",00.00
02-Sep-2020,Miscellaneous,284.90,00.00,284.90
02-Sep-2020,Reversal,"1,645,504.00",00.00,"1,645,788.90"
02-Sep-2020,Bill,"26,125.50",00.00,"1,671,914.40"
02-Sep-2020,IMPS,00.00,"417,978.60","1,253,935.80"
02-Sep-2020,IMPS,00.00,"313,483.95","940,451.85"
02-Sep-2020,Purchase,"2,269.00",00.00,"942,720.85"
02-Sep-2020,Debit Card,00.00,"134,674.41","808,046.44"
02-Sep-2020,NEFT,869.10,00.00,"808,915.54"
02-Sep-2020,Transfer,"3,526.48",00.00,"812,442.02"
02-Sep-2020,Cash,00.00,"81,244.20","731,197.82"
02-Sep-2020,IMPS,"1,429,617.75",00.00,"2,160,815.57"
03-Sep-2020,Tax,"5,122.37",00.00,"2,165,937.94"
03-Sep-2020,Debit Card,00.00,"541,484.49","1,624,453.46"
03-Sep-2020,Tax,33.38,00.00,"1,624,486.84"
04-Sep-2020,Reversal,"234,092.60",00.00,"1,858,579.44"
04-Sep-2020,Debit Card,02.70,00.00,"1,858,582.14"
05-Sep-2020,ATM,00.00,"265,511.73","1,593,070.41"
05-Sep-2020,Interest,"13,709.00",00.00,"1,606,779.41"
05-Sep-2020,Cash,"2,073.00",00.00,"1,608,852.41"
05-Sep-2020,NEFT,00.00,"804,426.21","804,426.20"
05-Sep-2020,RTGS,"2,848.12",00.00,"807,274.32"
05-Sep-2020,Bill,"21,116.00",00.00,"828,390.32"
05-Sep-2020,Debit Card,00.00,"138,065.05","690,325.27"
05-Sep-2020,Cheque,37.00,00.00,"690,362.27"
05-Sep-2020,Bill,00.00,"76,706.92","613,655.35"
05-Sep-2020,Interest,00.00,"87,665.05","525,990.30"
05-Sep-2020,Purchase,00.00,"175,330.10","350,660.20"
05-Sep-2020,RTGS,"3,967.00",00.00,"354,627.20"
05-Sep-2020,Reversal,00.00,"39,403.02","315,224.18"
05-Sep-2020,Transfer,494.00,00.00,"315,718.18"
05-Sep-2020,IMPS,00.00,"31,571.82","284,146.36"
05-Sep-2020,Transfer,00.00,"94,715.45","189,430.91"
05-Sep-2020,NEFT,00.00,"27,061.56","162,369.35"
05-Sep-2020,Tax,00.00,"40,592.34","121,777.01"
05-Sep-2020,Interest,00.00,"12,177.70","109,599.31"
05-Sep-2020,Reversal,00.00,"15,657.04","93,942.27"
05-Sep-2020,ATM,00.00,"15,657.05","78,285.23"
05-Sep-2020,Tax,00.00,"9,785.65","68,499.58"
05-Sep-2020,Debit Card,"166,982.84",00.00,"235,482.42"
05-Sep-2020,Transfer,00.00,"235,482.42",00.00
05-Sep-2020,Tax,"85,489.53",00.00,"85,489.53"
05-Sep-2020,Cheque,"115,681.75",00.00,"201,171.28"
05-Sep-2020,ATM,00.00,"28,738.75","172,432.53"
05-Sep-2020,Debit Card,00.00,"34,486.51","137,946.02"
05-Sep-2020,RTGS,00.00,"15,327.34","122,618.68"
05-Sep-2020,Tax,319.05,00.00,"122,937.73"
05-Sep-2020,NEFT,00.00,"20,489.62","102,448.11"
05-Sep-2020,Bill,"1,585,386.50",00.00,"1,687,834.61"
05-Sep-2020,Bill,"2,305.20",00.00,"1,690,139.81"
05-Sep-2020,Bill,00.00,"1,690,139.81",00.00
05-Sep-2020,Bill,"2,020,879.80",00.00,"2,020,879.80"
05-Sep-2020,RTGS,441.00,00.00,"2,021,320.80"
05-Sep-2020,Transfer,00.00,"202,132.08","1,819,188.72"
05-Sep-2020,RTGS,151.60,00.00,"1,819,340.32"
05-Sep-2020,Transfer,05.00,00.00,"1,819,345.32"
05-Sep-2020,Cash,00.00,"363,869.06","1,455,476.26"
05-Sep-2020,Miscellaneous,126.00,00.00,"1,455,602.26"
05-Sep-2020,NEFT,04.40,00.00,"1,455,606.66"
05-Sep-2020,Purchase,31.30,00.00,"1,455,637.96"
05-Sep-2020,Transfer,00.00,"242,606.33","1,213,031.63"
05-Sep-2020,RTGS,00.00,"242,606.33","970,425.30"
05-Sep-2020,Bill,00.00,"107,825.03","862,600.27"
05-Sep-2020,Interest,00.00,"215,650.07","646,950.20"
05-Sep-2020,IMPS,00.00,"92,421.46","554,528.74"
05-Sep-2020,Miscellaneous,00.00,"92,421.46","462,107.28"
05-Sep-2020,IMPS,00.00,"66,015.33","396,091.95"
05-Sep-2020,Debit Card,103.00,00.00,"396,194.95"
05-Sep-2020,Cash,00.00,"66,032.49","330,162.46"
05-Sep-2020,Purchase,00.00,"165,081.23","165,081.23"
05-Sep-2020,Transfer,279.00,00.00,"165,360.23"
05-Sep-2020,Transfer,56.89,00.00,"165,417.12"
05-Sep-2020,Bill,47.02,00.00,"165,464.14"
05-Sep-2020,Miscellaneous,"196,421.00",00.00,"361,885.14"
05-Sep-2020,NEFT,00.00,"90,471.29","271,413.86"
05-Sep-2020,Bill,00.00,"67,853.47","203,560.40"
05-Sep-2020,IMPS,00.00,"20,356.04","183,204.36"
05-Sep-2020,Cash,00.00,"20,356.04","162,848.32"
05-Sep-2020,Tax,"3,916.28",00.00,"166,764.60"
05-Sep-2020,Commission,"28,510.00",00.00,"195,274.60"
05-Sep-2020,Purchase,00.00,"24,409.33","170,865.28"
05-Sep-2020,Interest,00.00,"28,477.55","142,387.73"
06-Sep-2020,Commission,00.00,"17,798.47","124,589.26"
06-Sep-2020,RTGS,01.91,00.00,"124,591.17"
06-Sep-2020,Transfer,"992,989.50",00.00,"1,117,580.67"
06-Sep-2020,Cash,00.00,"1,117,580.67",00.00
06-Sep-2020,Transfer,"3,549.39",00.00,"3,549.39"
06-Sep-2020,Debit Card,00.00,507.06,"3,042.33"
06-Sep-2020,Miscellaneous,00.00,434.62,"2,607.71"
06-Sep-2020,NEFT,"1,949,296.25",00.00,"1,951,903.96"
06-Sep-2020,Reversal,723.20,00.00,"1,952,627.16"
07-Sep-2020,RTGS,05.68,00.00,"1,952,632.84"
08-Sep-2020,Purchase,43.44,00.00,"1,952,676.28"
08-Sep-2020,Transfer,"23,426.40",00.00,"1,976,102.68"
08-Sep-2020,Bill,"668,541.00",00.00,"2,644,643.68"
08-Sep-2020,Purchase,00.00,"293,849.30","2,350,794.38"
08-Sep-2020,Bill,00.00,"261,199.38","2,089,595.00"
08-Sep-2020,Interest,57.38,00.00,"2,089,652.38"
08-Sep-2020,Interest,00.00,"417,930.48","1,671,721.90"
08-Sep-2020,Bill,00.00,"238,817.41","1,432,904.49"
08-Sep-2020,Bill,303.00,00.00,"1,433,207.49"
08-Sep-2020,Debit Card,00.00,"159,245.28","1,273,962.21"
08-Sep-2020,Cash,"158,806.00",00.00,"1,432,768.21"
08-Sep-2020,Purchase,"3,569.20",00.00,"1,436,337.41"
08-Sep-2020,Interest,00.00,"1,436,337.41",00.00
08-Sep-2020,Purchase,07.00,00.00,07.00
08-Sep-2020,Reversal,03.00,00.00,10.00
08-Sep-2020,ATM,00.00,02.50,07.50
08-Sep-2020,Miscellaneous,00.00,01.50,06.00
08-Sep-2020,Commission,"7,091.49",00.00,"7,097.49"
08-Sep-2020,IMPS,17.00,00.00,"7,114.49"
09-Sep-2020,Cheque,"22,742.70",00.00,"29,857.19"
09-Sep-2020,Interest,"1,944,986.50",00.00,"1,974,843.69"
09-Sep-2020,Cash,"2,121.80",00.00,"1,976,965.49"
09-Sep-2020,Cheque,00.00,"658,988.50","1,317,976.99"
09-Sep-2020,Interest,00.00,"1,317,976.99",00.00
09-Sep-2020,Bill,"2,899.10",00.00,"2,899.10"
09-Sep-2020,Cash,"146,849.00",00.00,"149,748.10"
09-Sep-2020,Miscellaneous,"3,474.48",00.00,"153,222.58"
09-Sep-2020,NEFT,22.00,00.00,"153,244.58"
09-Sep-2020,Cash,00.00,"19,155.57","134,089.01"
09-Sep-2020,NEFT,00.00,"19,155.57","114,933.44"
09-Sep-2020,ATM,"83,365.20",00.00,"198,298.64"
09-Sep-2020,Transfer,351.50,00.00,"198,650.14"
09-Sep-2020,Reversal,505.15,00.00,"199,155.29"
09-Sep-2020,Cash,00.00,"49,788.82","149,366.47"
09-Sep-2020,Interest,"5,085.00",00.00,"154,451.47"
09-Sep-2020,Purchase,00.00,"77,225.74","77,225.74"
09-Sep-2020,RTGS,00.00,"9,653.22","67,572.52"
09-Sep-2020,Cash,04.40,00.00,"67,576.92"
09-Sep-2020,Purchase,194.95,00.00,"67,771.87"
09-Sep-2020,Miscellaneous,00.00,"67,771.87",00.00
09-Sep-2020,IMPS,43.00,00.00,43.00
10-Sep-2020,Tax,00.00,10.75,32.25
10-Sep-2020,Purchase,46.00,00.00,78.25
10-Sep-2020,RTGS,00.00,11.18,67.07
10-Sep-2020,ATM,00.00,09.58,57.49
10-Sep-2020,Debit Card,"15,389.00",00.00,"15,446.49"
